95|51
92|45
92|39
55|51
55|91
55|43
46|93
46|69
46|84
46|99
11|43
11|99
11|63
11|39
11|88
66|86
66|96
66|68
66|24
66|76
66|81
19|95
19|45
19|66
19|44
19|64
19|55
19|86
45|88
45|69
45|57
45|44
45|86
45|54
45|51
45|58
84|37
84|55
84|18
84|28
84|76
84|66
84|86
84|68
84|71
67|69
67|66
67|71
67|37
67|61
67|26
67|55
67|52
67|45
67|19
63|88
63|73
63|97
63|37
63|84
63|42
63|52
63|95
63|19
63|64
63|45
91|38
91|84
91|26
91|43
91|77
91|82
91|39
91|97
91|99
91|35
91|92
91|73
69|88
69|86
69|61
69|51
69|57
69|18
69|58
69|24
69|68
69|38
69|81
69|62
69|32
97|44
97|19
97|55
97|81
97|24
97|68
97|69
97|58
97|96
97|71
97|64
97|14
97|76
97|18
28|54
28|62
28|86
28|91
28|81
28|23
28|61
28|52
28|76
28|64
28|57
28|95
28|18
28|88
28|96
42|96
42|95
42|26
42|35
42|68
42|84
42|69
42|55
42|97
42|88
42|28
42|81
42|67
42|86
42|71
42|66
35|37
35|95
35|76
35|96
35|52
35|97
35|69
35|24
35|88
35|61
35|81
35|68
35|86
35|18
35|19
35|44
35|14
73|86
73|77
73|26
73|96
73|67
73|66
73|52
73|35
73|45
73|84
73|69
73|24
73|18
73|19
73|37
73|55
73|64
73|97
61|93
61|91
61|57
61|92
61|44
61|63
61|42
61|51
61|65
61|54
61|38
61|62
61|73
61|58
61|46
61|39
61|77
61|23
61|43
93|67
93|95
93|97
93|18
93|52
93|81
93|35
93|96
93|45
93|71
93|19
93|73
93|77
93|69
93|86
93|64
93|28
93|37
93|66
93|88
65|35
65|28
65|39
65|99
65|84
65|67
65|19
65|45
65|37
65|71
65|93
65|97
65|63
65|42
65|77
65|32
65|73
65|43
65|92
65|26
65|46
23|84
23|77
23|38
23|65
23|93
23|26
23|73
23|11
23|43
23|46
23|62
23|39
23|67
23|92
23|63
23|99
23|82
23|35
23|54
23|42
23|51
23|91
58|62
58|92
58|82
58|43
58|93
58|99
58|77
58|23
58|65
58|39
58|54
58|51
58|63
58|46
58|73
58|26
58|38
58|91
58|11
